STT,Từ vựng gốc,Từ loại,Phiên âm,Ý nghĩa,Câu ví dụ,Dịch câu ví dụ
---,---,---,---,---,---,---
1,阿姨,Danh từ,āyí,"dì, cô, bác gái",周末的时候，我和妈妈一起去机场迎接刚从国外回来的小阿姨。,"Cuối tuần, tôi cùng mẹ ra sân bay đón dì út mới ở nước ngoài về."
2,啊,Thán từ,a,"a, ồ, hả (biểu thị thán phục, nghi vấn hoặc giải thích)",啊！今天的北京大风天气真冷，出门前大家记得多穿上一件羽绒服。,"Ồ! Thời tiết nhiều gió ở Bắc Kinh hôm nay thật lạnh, nhớ mặc thêm áo phao."
3,矮,Tính từ,ǎi,"lùn, thấp (chiều cao)",虽然他的个子长得有一点儿矮，但是他在学校篮球队里投篮非常准。,Dù dáng người hơi thấp nhưng cậu ấy ném rổ rất chuẩn trong đội bóng.
4,矮小,Tính từ,ǎixiǎo,"thấp bé, nhỏ bé",学校门口那排矮小的木头平房下周就要被全部拆除并重新建设了。,Dãy nhà cấp bốn thấp bé ở cổng trường tuần tới sẽ bị phá dỡ xây lại.
5,爱国,Động từ,àiguó,yêu nước,这首激昂动听的中文歌曲歌颂了无数爱国英雄为国家做出的伟大贡献。,Bài hát tiếng Trung hào hùng ca ngợi anh hùng yêu nước hiến dâng vì tổ quốc.
6,爱护,Động từ,àihù,"yêu quý, bảo vệ, giữ gìn",作为学校的一员，我们要时刻爱护公物，保持校园环境的整洁卫生。,"Là một thành viên trường, ta phải bảo vệ của công và giữ vệ sinh trường."
7,安,Động từ / Tính từ,ān,"an toàn, yên ổn, lắp đặt",我的房间里今天上午新安了一个非常凉快、没有任何噪音的空调。,Sáng nay phòng tôi mới lắp chiếc điều hòa rất mát và không ồn.
8,安置,Động từ,ānzhì,"bố trí, sắp xếp, sắp đặt ổn thỏa",学校已经妥善安置了那批因为突然下大雨而无法回家的外国留学生。,Trường đã sắp xếp ổn thỏa cho các du học sinh không thể về nhà vì mưa.
9,按时,Phó từ,ànshí,"đúng giờ, đúng hẹn",为了保证身体健康，我们每天一定要按时吃饭、按时去床上睡觉。,"Để bảo đảm sức khỏe, chúng ta nhất định phải ăn ngủ đúng giờ hàng ngày."
10,暗,Tính từ,àn,"tối, u ám, âm thầm",走廊里的光线实在太暗了，请把门口旁边的那个电灯开关打开吧。,"Ánh sáng hành lang tối quá, xin hãy bật công tắc đèn cạnh cửa đi."
11,暗示,Động từ / Danh từ,ànshì,"ám thị, gợi ý, ra hiệu",李老师用严厉的眼神暗示那个在汉语课上大声说话聊天的留学生。,Cô Lý dùng ánh mắt nghiêm khắc ra hiệu học sinh đang nói chuyện to.
12,巴士,Danh từ,bāshì,"xe buýt, xe khách",我们今天下午准备在校门口坐双层巴士去北京市中心参观博物馆。,Chiều nay chúng tôi định đón xe buýt hai tầng ở cổng trường đi bảo tàng.
13,百货,Danh từ,bǎihuò,bách hóa,这家新建的大型百货商场里陈列着各种品牌的高级运动鞋和衣服。,Thương xá bách hóa lớn mới xây trưng bày nhiều giày áo thể thao hiệu.
14,摆,Động từ,bǎi,"bày biện, sắp xếp, lắc lư",书桌上整整齐齐地摆着几本汉语词典和一盒非常新颖的黑色钢笔。,Trên bàn học bày ngay ngắn vài cuốn từ điển và hộp bút máy màu đen.
15,摆动,Động từ,bǎidòng,"lắc lư, dao động, đung đưa",微风轻轻吹过，湖水旁边那一排排绿色的柳树枝条在随风自由摆动。,"Gió khẽ thổi, những cành liễu xanh ven hồ đung đưa tự do theo gió."
16,摆脱,Động từ,bǎituō,"thoát khỏi, vứt bỏ (khó khăn/ràng buộc)",经过不断地努力尝试，他终于彻底摆脱了那个让他头疼的财务困境。,"Qua nỗ lực thử nghiệm, cuối cùng anh ấy thoát khỏi khó khăn tài chính."
17,败,Động từ,bài,"thua, thất bại, làm hỏng",在昨天下午的激烈足球决赛中，我们学校代表队不幸败给了对方。,"Trong trận chung kết bóng đá gay cấn chiều qua, trường ta tiếc là đã thua."
18,办事,Động từ / Danh từ,bànshì,"làm việc, giải quyết công việc",李经理办事向来非常认真专注，交给他负责的项目大家都很放心。,"Sếp Lý làm việc luôn tận tâm, dự án giao cho anh ấy ai cũng yên tâm."
19,包裹,Động từ / Danh từ,bāoguǒ,"bao bọc, gói, bưu phẩm",今天下午，我收到了一个寄自越南的装满特色零食的国际大包裹。,Chiều nay tôi nhận được một bưu kiện lớn gửi từ Việt Nam chứa đầy đồ ăn.
20,包含,Động từ,bāohán,"bao hàm, chứa đựng",这本汉语三级阅读课本里包含了很多关于中国传统文化的有趣故事。,Sách đọc tiếng Trung này bao hàm nhiều câu chuyện văn hóa thú vị.
21,包括,Động từ,bāokuò,bao gồm,我们写的小组汉语报告里包括了目前中国交通设施的详细数据分析。,Báo cáo tiếng Trung nhóm tôi viết gồm phân tích số liệu giao thông Trung Quốc.
22,薄,Tính từ,báo,"mỏng, nhạt (tình cảm/hương vị)",这件绿色的秋季外套太薄了，今天外面大风天气穿它出去会非常冷。,"Chiếc áo khoác mùa thu màu xanh này mỏng quá, mặc ra ngoài hôm nay rất lạnh."
23,宝,Danh từ,bǎo,"bảo bối, báu vật, của quý",大熊猫是中国特有的珍稀动物，被全中国人民视为国家不可多得的国宝。,"Gấu trúc là động vật quý hiếm đặc hữu, được xem là quốc bảo Trung Quốc."
24,宝宝,Danh từ,bǎobao,"em bé, bảo bảo",那个刚满一岁的小宝宝长着一双大大的眼睛，看起来真是活泼可爱。,Em bé mới tròn một tuổi có đôi mắt to tròn trông thật hoạt bát đáng yêu.
25,宝贝,Danh từ,bǎobèi,"bảo bối, cục cưng, em bé yêu quý",妈妈常常把家里养的那只温顺的小猫咪当做自己手心里的宝贝一样爱护。,Mẹ thường yêu quý chú mèo ngoan ngoãn nuôi trong nhà như bảo bối.
26,宝贵,Tính từ,bǎoguì,"quý giá, quý báu",大学四年的宝贵时光稍纵即逝，我们一定要加倍珍惜，努力多学汉字。,"Thời gian đại học quý giá trôi rất nhanh, ta phải trân trọng học chữ Hán."
27,宝石,Danh từ,bǎoshí,đá quý,这枚精美且昂贵的戒指上镶嵌了一颗闪闪发光的深蓝色天然宝石。,Chiếc nhẫn tinh xảo đắt tiền này khảm một viên đá quý tự nhiên xanh thẫm.
28,保密,Động từ / Tính từ,bǎomì,"bảo mật, giữ bí mật",关于新产品研发的具体技术核心数据，大家一定要做到绝对保密。,"Về số liệu kỹ thuật cốt lõi của sản phẩm mới, mọi người phải bảo mật tuyệt đối."
29,保守,Động từ / Tính từ,bǎoshǒu,"giữ gìn, bảo thủ, kín kẽ",他的思想观念相对有一点儿保守，总是觉得传统的生活方式最安全。,"Quan niệm suy nghĩ của ông ấy hơi bảo thủ, luôn thấy lối sống xưa an toàn."
30,抱,Động từ,bào,"ôm, bế, ôm ấp",那个可爱的女孩子怀里抱着一只非常暖和的玩具熊，开心地走进了房间。,Cô bé đáng yêu ôm chú gấu bông ấm áp vui vẻ bước vào phòng.
31,背景,Danh từ,bèijǐng,"bối cảnh, nền, phông nền",这幅中文海报的背景图案设计得非常简洁高雅，很适合贴在教室里。,Hình nền tấm áp phích tiếng Trung này thiết kế rất nhã nhặn hợp dán ở lớp.
32,倍,Lượng từ,bèi,"lần, gấp bội (lượng từ)",今年来到我们学校报到学习汉语的外籍留学生数量比去年翻了一倍。,Số lượng du học sinh đến trường học tiếng Trung năm nay tăng gấp đôi.
33,被迫,Động từ,bèipò,"bị buộc, bị ép buộc làm gì",由于突发暴雨天气，我们今天下午的户外足球比赛不得不被迫延期。,"Do thời tiết mưa bão đột xuất, trận bóng đá chiều nay bị buộc hoãn."
34,本科,Danh từ,běnkē,"khoa chính quy, đại học chính quy",他在北京语言大学中文系读了四年本科，汉语口语水平说得相当流利。,"Cậu ấy học đại học chính quy 4 năm ở Bắc Ngữ, nói tiếng Trung rất trôi chảy."
35,笨,Tính từ,bèn,"dốt, ngốc, vụng về",只要你肯多花时间练习写汉字，就不要担心自己比别人笨，加油！,"Chỉ cần bạn chịu khó luyện viết chữ Hán, đừng lo mình ngốc hơn người khác."
36,比分,Danh từ,bǐfēn,tỷ số (trận đấu thể thao),大屏幕上显示当前两校足球比赛的比分是二比二，竞争非常激烈。,"Màn hình hiển thị tỷ số trận bóng hai trường hiện là 2-2, đấu rất gay cấn."
37,毕业,Động từ,bìyè,tốt nghiệp,明年大学毕业以后，我打算直接去中国北京的一所大学读研究生。,"Năm sau tốt nghiệp đại học, tôi định đi học thạc sĩ ở Bắc Kinh luôn."
38,毕业生,Danh từ,bìyèshēng,học sinh/sinh viên tốt nghiệp,每到毕业季，很多优秀的毕业生都会去参加大型招聘会寻找工作。,"Mỗi mùa tốt nghiệp, nhiều sinh viên tốt nghiệp đi hội chợ việc làm tìm việc."
39,避,Động từ,bì,"tránh, né tránh, tị nạn",夏天的中午阳光太强烈了，我们赶紧去大树底下的阴凉处避一下雨。,"Nắng trưa hè gay gắt quá, chúng ta mau vào bóng râm gốc cây tránh nắng."
40,避免,Động từ,bìmiǎn,"tránh, tránh khỏi, hạn chế",我们在做科学实验的时候一定要严格操作规则，从而避免发生意外事故。,Khi làm thí nghiệm phải tuân thủ quy tắc để tránh tai nạn xảy ra.
41,编,Động từ,biān,"biên soạn, đan, thêu dệt, kết lại",李老师正在办公室里为留学生们重新编写编写一版汉语口语基础教材。,Cô Lý đang ở văn phòng biên soạn lại giáo trình khẩu ngữ cơ bản cho học sinh.
42,辩论,Động từ / Danh từ,biànlùn,"biện luận, tranh luận, cuộc tranh biện",今天下午的汉语班级辩论比赛非常成功，大家的表达逻辑很强。,"Trận biện luận tiếng Trung của lớp chiều nay rất thành công, lý luận chặt."
43,标志,Danh từ / Động từ,biāozhì,"kí hiệu, cột mốc, đánh dấu, biểu tượng",红色十字是医疗机构的标志，在马路上看到它一定要注意避让。,"Chữ thập đỏ là biểu tượng y tế, đi đường gặp phải chú ý nhường."
44,表情,Danh từ,biǎoqíng,"nét mặt, vẻ mặt, biểu cảm",听到这个突然的好消息，他的脸上露出了极其惊喜和难以置信的表情。,"Nghe tin tốt lành bất ngờ này, mặt cậu ấy lộ vẻ cực kỳ ngạc nhiên."
45,表扬,Động từ,biǎoyáng,"khen ngợi, biểu dương",因为在这次汉语演讲比赛中获得了金牌，他受到了校长的公开表扬。,"Vì giành huy chương vàng cuộc thi nói, cậu ấy được hiệu trưởng khen."
46,别,Động từ / Phó từ,bié,"đừng, khác, cài/ghim",上课的时候千万别随便玩手机聊天，一定要认真听李老师讲课文。,"Trong giờ học tuyệt đối đừng nghịch điện thoại, nhớ nghe cô giảng bài."
47,冰,Danh từ / Tính từ,bīng,"băng, đá, lạnh",夏天炎热的天气里，喝一杯加了冰块的酸梅汤感觉十分舒服解渴。,Thời tiết hè nóng nực uống cốc nước mơ thêm đá thấy rất mát giải khát.
48,冰箱,Danh từ,bīngxiāng,tủ lạnh,妈妈买回来很多新鲜的蔬菜和牛肉，把它们整整齐齐地放进了冰箱里。,Mẹ mua nhiều rau tươi và thịt bò về cất ngay ngắn vào tủ lạnh.
49,冰雪,Danh từ / Tính từ,bīngxuě,băng tuyết,冬天到了，哈尔滨变成了一个非常美丽、充满白色的冰雪世界。,"Đông đến, Cáp Nhĩ Tân biến thành một thế giới băng tuyết trắng tinh đẹp đẽ."
50,兵,Danh từ,bīng,"binh, lính, quân đội",他的大哥哥去年报名参军入伍，现在已经成为了一名光荣的汽车兵。,"Anh trai cậu ấy đi lính năm ngoái, giờ đã thành lính lái xe vinh quang."
51,并,Động từ / Liên từ / Phó từ,bìng,"và, đồng thời, kết hợp, hơn nữa (nhấn mạnh phủ định)",他虽然平时看起来很冷淡，但实际上他并没有我们想象得那么难以接近。,Trông cậu ấy lạnh nhạt thực ra chẳng khó gần như ta tưởng.
52,不要紧,Tính từ,búyàojǐn,"không sao, không nghiêm trọng",这次汉语考试没考好不要紧，只要你肯找出原因继续努力就行了。,"Thi tiếng Trung lần này chưa tốt không sao, tìm lý do rồi cố lên là được."
53,不在乎,Động từ,búzàihu,"không để ý, không bận tâm, coi nhẹ",他对于别人怎么评价他完全不在乎，依然坚持做自己喜欢的事情。,"Cậu ấy chẳng bận tâm người khác đánh giá thế nào, cứ làm việc mình thích."
54,不管,Liên từ,buǎn,"bất kể, bất luận (thường đi với 都/也)",不管明天的汉语测试有多难，我们今晚都要做好最充分的准备工作。,"Bất kể bài kiểm tra mai khó thế nào, tối nay ta đều phải chuẩn bị kỹ."
55,不然,Liên từ,bùrán,"nếu không thì, bằng không",写完中文报告后记得多检查几遍，不然很容易出现低级的拼写错误。,"Viết xong báo cáo nhớ kiểm tra vài lần, nếu không dễ sai chính tả."
56,布置,Động từ,bùzhì,"bố trí, sắp xếp, trang hoàng (phòng/bài tập)",元旦前一天，同学们自发把留学生教室布置得非常漂亮有节日气氛。,"Trước Tết Dương lịch, học sinh tự trang hoàng phòng học rất đẹp ấm cúng."
57,步行,Động từ,bùxíng,đi bộ,我们学校宿舍距离西门图书馆非常近，大家每天步行五分钟就到了。,"Ký túc cách thư viện tây rất gần, đi bộ 5 phút là tới nơi hàng ngày."
58,擦,Động từ,cā,"lau, chùi, quét, bôi (kem)",值日生把黑板上的汉字生词擦得干干净净，准备迎接新的一节汉语课。,Học sinh trực nhật lau bảng sạch sẽ chuẩn bị cho tiết tiếng Trung mới.
59,才,Danh từ / Phó từ,cái,"tài năng, vừa mới, mới (nhấn mạnh thời gian muộn)",直到晚上九点，他才拖着疲惫的身体从学校的多媒体教室回宿舍。,Mãi đến 9h tối cậu ấy mới mệt mỏi từ phòng đa phương tiện về ký túc.
60,材料,Danh từ,cáiliào,"tài liệu, vật liệu",请大家把今天汉语课上发给你们的阅读材料整整齐齐地收进书包里。,Mời mọi người cất ngay ngắn tài liệu đọc cô phát hôm nay vào cặp.
61,财产,Danh từ,cáichǎn,tài sản,保护个人财产安全是每个公民的日常责任，在公共场所要小心小偷。,"Bảo vệ tài sản cá nhân là trách nhiệm mỗi công dân, nơi công cộng cẩn thận."
62,财富,Danh từ,cáifù,"tài phú, của cải, tài sản quý giá",健康是我们人生中最大、最不可替代的一笔精神与身体财富了。,Sức khỏe là khối của cải lớn nhất không thể thay thế của cuộc đời ta.
63,采访,Động từ / Danh từ,cǎifǎng,"phỏng vấn, lấy tin, cuộc phỏng vấn",今天下午，学校的中文报社记者要在操场上采访那名长跑比赛冠军。,Chiều nay phóng viên báo trường phỏng vấn quán quân chạy dài trên sân.
64,参考,Động từ,cānkǎo,tham khảo,写毕业论文时，我们可以多多参考一下中国学者写的学术研究文献。,"Khi làm luận văn, ta có thể tham khảo thêm tài liệu học thuật Trung Quốc."
65,参与,Động từ,cānyù,"tham gia, dự phần, tham dự vào",这次学校举办的中秋晚会吸引了众多外籍留学生积极报名参与其中。,Đêm hội Trung thu trường tổ chức thu hút nhiều du học sinh tham gia.
66,操场,Danh từ,cāochǎng,"sân vận động, sân chơi, bãi tập",每天傍晚，操场上都有很多热爱运动的同学在跑步跑步和踢足球。,"Mỗi tối muộn, trên sân vận động có nhiều bạn chạy bộ và đá bóng."
67,操作,Động từ / Danh từ,cāozuò,"thao tác, vận hành, sử dụng máy",在使用这台新买的自动化电脑机器设备前，一定要仔细阅读操作手册。,"Trước khi dùng máy tự động mới mua này, hãy đọc kỹ hướng dẫn thao tác."
68,测,Động từ,cè,"đo, đo lường, trắc nghiệm",李老师今天要在课上测一下我们的汉语三级词汇量，看看大家掌握得如何。,Hôm nay cô Lý kiểm tra từ vựng HSK 3 xem chúng tôi nắm đến đâu.
69,测量,Động từ,cèliáng,"đo lường, khảo sát, đo đạc",工程师们正在用专业的仪器设备测量这块用于建设新图书馆的土地。,Kỹ sư đang dùng máy chuyên dụng đo đạc khu đất xây thư viện mới.
70,测试,Động từ / Danh từ,cèshì,"kiểm tra, trắc nghiệm, bài test",明天上午我们将要进行一次关于汉语口语表达表达能力的阶段性测试。,Sáng mai chúng tôi làm bài kiểm tra năng lực nói tiếng Trung.
71,茶叶,Danh từ,cháyè,"lá trà, chè (để pha nước)",中国著名的龙井茶叶味道清香宜人，是送给外国朋友非常有特色的礼物。,Trà Long Tỉnh nổi tiếng Trung Quốc vị thơm mát là quà tặng ý nghĩa.
72,曾,Phó từ,céng,đã từng (như 曾经),他曾去过中国北京和上海留学了三年，对那里的风俗习惯非常熟悉熟知。,Cậu ấy từng du học ở Bắc Kinh và Thượng Hải 3 năm nên rất rõ phong tục.
73,产品,Danh từ,chǎnpǐn,"sản phẩm, hàng hóa",这家科技公司新研发的电子产品一经上市就受到了年轻消费者的喜爱。,Sản phẩm điện tử mới của công ty công nghệ vừa ra mắt đã được thích.
74,长途,Tính từ / Danh từ,chángtú,"đường dài, viễn thông đường dài",坐了十个小时的长途汽车，他感觉浑身酸痛，迫切地需要上床去睡觉休息。,"Đi xe khách đường dài 10 tiếng, cậu ấy thấy mỏi nhừ cần đi ngủ nghỉ ngơi."
75,常识,Danh từ,chángshí,"thường thức, hiểu biết thông thường",多了解一些关于日常交通安全的常识能帮助我们在马路上避免很多危险。,Hiểu biết thường thức an toàn giao thông giúp tránh hiểm nguy đi đường.
